city_id,unit,year,obesity_rate,group,post_tax,post_treatment,time
1,city_01,2018,28.31373607168328,1,0,0,0
1,city_01,2019,26.873819197505817,1,0,0,1
1,city_01,2020,27.25116577665895,1,0,0,2
1,city_01,2021,26.61626605708973,1,0,0,3
1,city_01,2022,25.851280205646603,1,0,0,4
1,city_01,2023,24.85667027609051,1,1,1,5
1,city_01,2024,23.18846866731629,1,1,1,6
1,city_01,2025,22.264312955411597,1,1,1,7
2,city_02,2018,31.91631852327554,1,0,0,0
2,city_02,2019,30.84734575175656,1,0,0,1
2,city_02,2020,30.511911248693824,1,0,0,2
2,city_02,2021,30.627962377493898,1,0,0,3
2,city_02,2022,29.59755084821785,1,0,0,4
2,city_02,2023,28.324046935872317,1,1,1,5
2,city_02,2024,26.93977389804589,1,1,1,6
2,city_02,2025,25.93185742141024,1,1,1,7
3,city_03,2018,31.6543068576472,1,0,0,0
3,city_03,2019,30.73236810291915,1,0,0,1
3,city_03,2020,30.343939407904166,1,0,0,2
3,city_03,2021,30.127012797760056,1,0,0,3
3,city_03,2022,29.027444186541562,1,0,0,4
3,city_03,2023,27.759078984358595,1,1,1,5
3,city_03,2024,26.07356150215918,1,1,1,6
3,city_03,2025,25.16367340431563,1,1,1,7
4,city_04,2018,31.617924792922935,1,0,0,0
4,city_04,2019,30.50502130350208,1,0,0,1
4,city_04,2020,29.665053291089794,1,0,0,2
4,city_04,2021,29.73448161935112,1,0,0,3
4,city_04,2022,28.75987156397254,1,0,0,4
4,city_04,2023,27.624697647039056,1,1,1,5
4,city_04,2024,25.96183294341001,1,1,1,6
4,city_04,2025,25.069592830954825,1,1,1,7
5,city_05,2018,31.364081240629556,1,0,0,0
5,city_05,2019,30.88401367357143,1,0,0,1
5,city_05,2020,30.52573891155277,1,0,0,2
5,city_05,2021,29.796299508429797,1,0,0,3
5,city_05,2022,29.531622475447264,1,0,0,4
5,city_05,2023,27.98157522755221,1,1,1,5
5,city_05,2024,26.20397234165592,1,1,1,6
5,city_05,2025,25.367674045219587,1,1,1,7
6,city_06,2018,33.038223176680944,1,0,0,0
6,city_06,2019,31.983443569162517,1,0,0,1
6,city_06,2020,32.702925689811465,1,0,0,2
6,city_06,2021,31.191311452467993,1,0,0,3
6,city_06,2022,30.957315872197398,1,0,0,4
6,city_06,2023,29.920642206008335,1,1,1,5
6,city_06,2024,28.375866794161702,1,1,1,6
6,city_06,2025,26.7879610037321,1,1,1,7
7,city_07,2018,32.10032639468512,1,0,0,0
7,city_07,2019,31.989024090611707,1,0,0,1
7,city_07,2020,31.180619990791207,1,0,0,2
7,city_07,2021,30.768392391270936,1,0,0,3
7,city_07,2022,29.90802989094296,1,0,0,4
7,city_07,2023,28.812175768985103,1,1,1,5
7,city_07,2024,28.033290088212052,1,1,1,6
7,city_07,2025,26.18140738688015,1,1,1,7
8,city_08,2018,32.07240280831925,1,0,0,0
8,city_08,2019,31.54892758409466,1,0,0,1
8,city_08,2020,31.267865167444008,1,0,0,2
8,city_08,2021,30.365160009056382,1,0,0,3
8,city_08,2022,29.83810629850394,1,0,0,4
8,city_08,2023,27.982828662927638,1,1,1,5
8,city_08,2024,27.57087561504843,1,1,1,6
8,city_08,2025,25.624586443106356,1,1,1,7
9,city_09,2018,30.671671185918573,1,0,0,0
9,city_09,2019,30.583245843477535,1,0,0,1
9,city_09,2020,29.708182116560334,1,0,0,2
9,city_09,2021,29.474856189033297,1,0,0,3
9,city_09,2022,28.470339443451202,1,0,0,4
9,city_09,2023,27.32353894876118,1,1,1,5
9,city_09,2024,26.27210439697919,1,1,1,6
9,city_09,2025,24.566139681443065,1,1,1,7
10,city_10,2018,28.668260370118837,1,0,0,0
10,city_10,2019,28.48779348969376,1,0,0,1
10,city_10,2020,27.394096070032752,1,0,0,2
10,city_10,2021,27.792313140749027,1,0,0,3
10,city_10,2022,27.495888175005106,1,0,0,4
10,city_10,2023,25.986106193098102,1,1,1,5
10,city_10,2024,24.22001253191368,1,1,1,6
10,city_10,2025,23.51365770981879,1,1,1,7
11,city_11,2018,31.156968863687037,1,0,0,0
11,city_11,2019,31.23846077283044,1,0,0,1
11,city_11,2020,30.236960406984238,1,0,0,2
11,city_11,2021,29.64923833642656,1,0,0,3
11,city_11,2022,28.931253501013735,1,0,0,4
11,city_11,2023,28.39830416385086,1,1,1,5
11,city_11,2024,27.206130525637832,1,1,1,6
11,city_11,2025,25.491992501809076,1,1,1,7
12,city_12,2018,29.103764226380434,1,0,0,0
12,city_12,2019,28.606500011708754,1,0,0,1
12,city_12,2020,27.875260149007126,1,0,0,2
12,city_12,2021,27.629576280213787,1,0,0,3
12,city_12,2022,27.258466312631324,1,0,0,4
12,city_12,2023,25.439747133388934,1,1,1,5
12,city_12,2024,24.768826267446688,1,1,1,6
12,city_12,2025,23.463763927621027,1,1,1,7
13,city_13,2018,31.962163746225126,1,0,0,0
13,city_13,2019,31.243538732300486,1,0,0,1
13,city_13,2020,30.721580906312475,1,0,0,2
13,city_13,2021,30.33821681049521,1,0,0,3
13,city_13,2022,29.13364466941403,1,0,0,4
13,city_13,2023,28.277814456713106,1,1,1,5
13,city_13,2024,27.158255907612524,1,1,1,6
13,city_13,2025,25.83295294087119,1,1,1,7
14,city_14,2018,31.83847870093672,1,0,0,0
14,city_14,2019,31.655566746638954,1,0,0,1
14,city_14,2020,31.199460897287402,1,0,0,2
14,city_14,2021,30.106004126871376,1,0,0,3
14,city_14,2022,29.37064754396553,1,0,0,4
